Hero,Position,Pick Rate,Win Rate,KDA,Damage,Healing,Solo Kill,Final Blows
Ana,SUPPORT,8.30,48.59,4.65,2847.0,7277.0,0.32,2.58
Mercy,SUPPORT,7.99,50.25,4.15,466.0,9004.0,0.17,0.81
Moira,SUPPORT,4.18,50.38,6.33,5529.0,8354.0,0.83,5.57
Cassidy,DAMAGE,4.03,47.17,2.87,8001.0,3.0,2.27,10.71
D.Va,TANK,3.83,51.54,6.70,7513.0,14.0,1.58,8.65
Kiriko,SUPPORT,3.66,48.54,5.07,3002.0,8021.0,0.50,3.20
Genji,DAMAGE,3.51,50.24,2.80,7189.0,12.0,2.16,9.86
Soldier: 76,DAMAGE,3.26,49.41,3.24,8943.0,1422.0,2.02,10.21
Widowmaker,DAMAGE,3.18,46.82,2.54,5679.0,1.0,3.98,9.95
Reinhardt,TANK,3.13,52.21,3.05,7419.0,1.0,1.19,9.01
Zenyatta,SUPPORT,3.09,52.50,5.62,5208.0,5850.0,1.01,5.56
Lúcio,SUPPORT,2.88,52.78,4.01,3896.0,7147.0,0.64,3.33
Hanzo,DAMAGE,2.87,47.28,3.23,7653.0,1.0,2.88,10.84
Zarya,TANK,2.64,50.62,5.27,8474.0,1.0,0.77,7.75
Ashe,DAMAGE,2.60,50.09,3.46,8740.0,1.0,1.76,9.05
Junkrat,DAMAGE,2.58,49.69,2.88,8231.0,0.0,3.17,10.72
Roadhog,TANK,2.40,47.99,4.36,7545.0,4496.0,1.72,9.37
Juno,SUPPORT,2.33,50.58,5.07,3947.0,8067.0,0.28,3.27
Reaper,DAMAGE,2.04,51.74,3.12,7868.0,1291.0,2.69,11.48
Tracer,DAMAGE,2.00,47.82,2.82,6463.0,1.0,2.29,8.61
Pharah,DAMAGE,1.97,51.64,3.17,8616.0,1.0,2.82,11.25
Sombra,DAMAGE,1.88,46.59,3.50,5297.0,649.0,1.68,6.94
Winston,TANK,1.83,52.27,4.32,7453.0,33.0,1.37,8.34
Mei,DAMAGE,1.73,50.89,3.95,6245.0,1045.0,1.30,7.03
Orisa,TANK,1.72,47.24,4.02,8572.0,1.0,0.57,6.83
Lifeweaver,SUPPORT,1.64,47.32,5.56,1700.0,9227.0,0.16,1.38
Baptiste,SUPPORT,1.64,46.38,4.43,3847.0,8019.0,0.49,3.79
Brigitte,SUPPORT,1.53,53.27,4.34,3865.0,7509.0,0.59,4.56
Doomfist,TANK,1.46,49.26,3.49,7560.0,144.0,2.10,9.46
Bastion,DAMAGE,1.43,49.33,3.14,9697.0,564.0,1.75,10.55
Sojourn,DAMAGE,1.42,47.17,3.23,8747.0,0.0,1.22,8.68
Torbjörn,DAMAGE,1.41,55.49,3.43,9103.0,8.0,1.77,8.61
Symmetra,DAMAGE,1.33,56.70,3.68,7441.0,44.0,1.53,8.24
Sigma,TANK,1.33,50.33,4.80,9495.0,0.0,0.69,7.35
Illari,SUPPORT,1.14,52.04,4.05,4802.0,7566.0,0.61,4.79
Junker Queen,TANK,1.04,52.80,5.43,9722.0,2004.0,1.02,9.35
Ramattra,TANK,0.98,51.54,4.53,10140.0,216.0,0.81,9.00
Wrecking Ball,TANK,0.89,50.13,5.00,7032.0,25.0,1.45,7.04
Echo,DAMAGE,0.85,48.49,2.73,8403.0,132.0,1.65,9.48
Venture,DAMAGE,0.72,52.99,2.78,8060.0,0.0,1.80,8.96
Mauga,TANK,0.49,49.40,4.84,11205.0,1848.0,0.68,7.95
